result,table,_start,_stop,_time,_value,_field,_measurement
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:40.613769+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:10:55.627299+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:10.632218+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:25.649186+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:40.649456+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:55.662821+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:10.665463+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:25.683796+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:40.690573+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:55.703024+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:10.708988+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
_result,5,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:25.716896+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_TREND,KELABO1-----BS1---KFU1
